company_name,job_title,location,num_applicants
Harvey Nash,Software Engineer,"Redmond, WA",1 week ago
Stripe,"Full Stack Engineer, Dashboard Foundation","Seattle, WA",3 days ago
University of Washington,RESEARCH SCIENTIST/ENGINEER-SENIOR,"Seattle, WA",1 month ago
Google,"Senior Software Developer, Machine Learning, Google Cloud AI","Kirkland, WA",4 weeks ago
myGwork - LGBTQ+ Business Community,"Senior Applied Scientist, Applied AI","Bellevue, WA",2 weeks ago
MindPal,Fullstack Developer (Node.JS & React),"Seattle, WA",8 months ago
Google,"Senior Software Engineer, Machine Learning, Google Cloud Data Management","Kirkland, WA",1 week ago
Pinterest,"Staff Machine Learning Engineer, Creative Optimization","Seattle, WA",3 weeks ago
Google,"Research Scientist, Google Research","Seattle, WA",1 month ago
Amazon,"Applied Scientist II, Amazon","Seattle, WA",1 week ago
AGEMASA MARITIMA CANDINA AIE,Calibration Software Engineer,"Redmond, WA",3 weeks ago
